City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Balabac,PH,80.91,moderate rain,7.99,117.06,Sing and Swing Lodge
513,San Policarpo,PH,80.76,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
514,Abu Zabad,SD,78.85,overcast clouds,12.35,29.25,محي الدين نوري
516,Buala,SB,82.27,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
519,Mitsamiouli,KM,76.64,few clouds,-11.38,43.28,Foyer ADM
526,Vila Velha,BR,79.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
528,Puerto Escondido,MX,87.8,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
530,Pedernales,DO,86.0,broken clouds,18.04,-71.74,Hotel Costa Marina
534,Trairi,BR,78.35,overcast clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
537,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
540,Itapetininga,BR,75.74,broken clouds,-23.59,-48.05,Hotel Poloni
542,Westport,US,75.2,clear sky,41.14,-73.36,The Westport Inn
544,Laredo,US,89.6,moderate rain,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
547,Thinadhoo,MV,82.76,overcast clouds,0.53,72.93,
549,Forio,IT,80.01,clear sky,40.73,13.86,Hotel Terme Providence
551,Bushehr,IR,89.26,clear sky,28.97,50.84,Yas Hotel
554,Altamira,BR,89.6,scattered clouds,-3.2,-52.21,Requinte Hotel
556,Umm Lajj,SA,86.7,clear sky,25.02,37.27,Moon light Furnished Units
558,Mogadishu,SO,77.56,overcast clouds,2.04,45.34,Hotel Juba
561,Porbandar,IN,81.77,broken clouds,21.64,69.61,Lords Inn Porbandar
563,Labuan,MY,75.2,scattered clouds,5.28,115.24,Tiara Labuan Hotel
564,Bayir,TR,78.8,few clouds,37.27,28.22,Buban Otel
567,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
572,Corinto,GR,79.0,clear sky,37.94,22.96,Ephira Hotel
573,Zlitan,LY,78.26,moderate rain,32.47,14.57,القسم الداخلي للجامعة الأسمرية
574,Sao Gabriel Da Cachoeira,BR,89.2,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
576,Kavaratti,IN,81.34,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
577,Ugoofaaru,MV,81.82,light rain,5.67,73.0,Ungoofaaru Inn
580,Davila,PH,81.25,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
585,Jalu,LY,88.5,clear sky,29.03,21.55,Jalu Hotel
590,Sarangani,PH,80.42,overcast clouds,5.4,125.46,Ballistic Islet
594,Bourbonnais,US,75.0,clear sky,41.14,-87.88,Fairfield Inn by Marriott Kankakee Bourbonnais
597,Greenwood,US,90.0,few clouds,34.17,-82.12,Quality Inn Greenwood Hwy 25
604,Kutum,SD,78.57,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
608,Camacari,BR,78.8,scattered clouds,-12.7,-38.32,Sítio Blasi
609,Teacapan,MX,88.57,broken clouds,22.55,-105.75,Hotel los Mangos
611,Banda Aceh,ID,79.5,scattered clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
616,Dingle,PH,75.15,overcast clouds,11.0,122.67,Camp Pasica
619,Jawhar,SO,77.52,broken clouds,2.78,45.5,cosoble spare parts
620,Majene,ID,76.17,scattered clouds,-3.54,118.97,Kost Putri RABBANI
623,Ratnagiri,IN,77.85,overcast clouds,16.98,73.3,Hotel Landmark
627,Chalmette,US,88.0,overcast clouds,29.94,-89.96,Marina Motel Chalmette
628,Bull Savanna,JM,83.03,overcast clouds,17.89,-77.59,Big Red's
630,Matay,EG,80.69,clear sky,28.42,30.78,Nag Aespen
633,Lalmohan,BD,83.79,overcast clouds,22.34,90.74,Sundorbon courier service
637,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
638,Jega,NG,81.59,broken clouds,12.22,4.38,Jega Guest Inn
640,Santa Maria Da Vitoria,BR,80.74,scattered clouds,-13.39,-44.19,Pousada do Rio Corrente
649,Afonso Bezerra,BR,81.88,broken clouds,-5.5,-36.51,Pousada Shammah
650,Abonnema,NG,77.0,broken clouds,4.71,6.79,Corper's Lodge Obonoma
651,Nicoya,CR,84.2,broken clouds,10.15,-85.45,Guayacan Real
661,Le Vauclin,MQ,87.8,scattered clouds,14.55,-60.84,Hôtel Cap Macabou
662,San,ML,83.97,clear sky,13.3,-4.9,Hôtel Teriya
663,Damaturu,NG,76.93,broken clouds,11.75,11.96,Summit Conference Centre
665,Beloha,MG,77.0,broken clouds,-25.17,45.05,
668,Ganj Muradabad,IN,85.19,light rain,26.97,80.18,शिवशंकर लाल गुप्ता
671,Mocajuba,BR,87.98,overcast clouds,-2.58,-49.51,Hotel Tocantins
676,Los Llanos De Aridane,ES,75.2,broken clouds,28.66,-17.92,Valle Aridane
680,Itarema,BR,78.39,overcast clouds,-2.92,-39.92,Windvillage
684,Itoman,JP,80.6,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
689,Altus,US,78.8,clear sky,34.64,-99.33,Holiday Inn Express & Suites Altus
